month,desc_segm,count(num_doc),sum(sld_cap_final)
8,CONSTRUCTOR PYME,17047,4.20529308571e+12
8,PYMES,1801764,8.23384871028e+13
8,INTERNACIONAL,100,4.76698518412e+12
8,PERSONAL PLUS,5785217,6.58832816452e+13
8,PERSONAL,23723217,8.36971996239e+13
8,CONSTRUCTOR CORPORATIVO,18093,1.94244020735e+13
8,CORPORATIVA,64140,7.15290306411e+13
8,SIN SEGMENTO,16,9524168827.0
8,EMPRESARIAL,132288,4.34152814519e+13
8,GOBIERNO DE RED,2503,1.13496436117e+12
8,PREFERENCIAL,1401758,3.9213812136e+13
8,FINANCIERA,1573,4.13905493377e+12
8,MICROPYME,4242507,3.94981628532e+13
9,CORPORATIVA,46548,7.59761562374e+13
9,PERSONAL PLUS,4444655,5.66468030101e+13
9,FINANCIERA,3392,3.72138072306e+12
9,GOBIERNO DE RED,2230,1.02897476547e+12
9,INTERNACIONAL,85,4.72985477147e+12
9,CONSTRUCTOR PYME,16416,3.946676152e+12
9,PERSONAL,20081508,7.41826887714e+13
9,MICROPYME,3571103,3.46570874424e+13
9,CONSTRUCTOR EMPRESARIAL,14283,7.12255293056e+12
9,GOBIERNO,235,1.24195053827e+13
9,EMPRESARIAL,124365,3.2382897101e+13
9,CONSTRUCTOR CORPORATIVO,17636,1.70772429355e+13
9,PYMES,1766299,7.12697983451e+13
9,PREFERENCIAL,1080912,3.26129173821e+13
9,SIN SEGMENTO,25,14866259440.0
10,PERSONAL,20256871,7.96904546317e+13
10,CONSTRUCTOR CORPORATIVO,18047,1.57353874423e+13
10,MICROPYME,3601478,3.62095039825e+13
10,INTERNACIONAL,70,4.68474030821e+12
10,EMPRESARIAL,117628,3.2881232446e+13
10,FINANCIERA,5916,2.59003478645e+12
10,GOBIERNO DE RED,2323,8.53410679152e+11
10,GOBIERNO,341,1.42906948617e+13
10,PYMES,1662067,6.7463235518e+13
10,SIN SEGMENTO,9,5347004656.0
10,PERSONAL PLUS,4756405,6.32294749556e+13
10,CONSTRUCTOR PYME,17664,4.13828637107e+12
10,CONSTRUCTOR EMPRESARIAL,13828,7.24450939641e+12
10,PREFERENCIAL,1188917,3.7662203811e+13
10,CORPORATIVA,57976,7.93569889992e+13
11,PERSONAL PLUS,4514532,6.2732142254e+13
11,PREFERENCIAL,1099724,3.77409199356e+13
11,SIN SEGMENTO,27,14872780998.0
11,INTERNACIONAL,71,4.39860689993e+12
11,PERSONAL,18794174,7.71279631776e+13
11,PYMES,1501680,6.20116530226e+13
11,FINANCIERA,22572,5.99114463322e+12
11,CORPORATIVA,77655,7.19635852699e+13
11,EMPRESARIAL,111873,3.05811570606e+13
11,MICROPYME,3373084,3.5403603421e+13
11,GOBIERNO,172,1.15893065195e+13
11,CONSTRUCTOR EMPRESARIAL,13022,6.90954917634e+12
11,CONSTRUCTOR CORPORATIVO,16404,1.52474872921e+13
11,CONSTRUCTOR PYME,16929,4.24201982286e+12
11,GOBIERNO DE RED,2270,9.27564813691e+11
12,EMPRESARIAL,107968,3.19363107846e+13
12,CONSTRUCTOR EMPRESARIAL,13216,6.31785394485e+12
12,PYMES,1422197,6.25030247873e+13
12,CONSTRUCTOR PYME,17196,4.39357531177e+12
12,GOBIERNO,314,1.19891399707e+13
12,PREFERENCIAL,1074021,3.72301886732e+13
12,PERSONAL,18406307,7.60168391267e+13
12,CORPORATIVA,49183,7.24860485538e+13
12,GOBIERNO DE RED,2571,1.24326673057e+12
12,FINANCIERA,8354,7.8944716477e+12
12,INTERNACIONAL,81,4.47173817773e+12
12,SIN SEGMENTO,67,50808677804.0
12,MICROPYME,3358175,3.588625341e+13
12,PERSONAL PLUS,4581648,6.42362888187e+13
12,CONSTRUCTOR CORPORATIVO,17910,1.61496830652e+13
